Noise,GuessTillWin,RunNumber
0.0,2,1
0.0,5,1
0.5,3,2
0.5,4,2
1.0,3,3
1.0,3,3
2.0,4,4
2.0,3,4
5.0,5,5
5.0,4,5
10.0,3,6
10.0,3,6
15.0,4,7
15.0,5,7
20.0,3,8
20.0,6,8
50.0,2,9
50.0,6,9
